Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710962919.7755976,79779,1710962919,774763404,crazy08/base_link,46162.0,39132.0,45300.0,40150.0
1710962919.7873135,79780,1710962919,786583465,crazy08/base_link,46264.0,40246.0,44796.0,38914.0
1710962919.796832,79781,1710962919,795976221,crazy08/base_link,45179.0,39727.0,46531.0,39431.0
1710962919.8070571,79782,1710962919,806319552,crazy08/base_link,46801.0,39485.0,44543.0,40039.0
1710962919.816611,79783,1710962919,815891303,crazy08/base_link,46693.0,39251.0,44319.0,39441.0
1710962919.8277526,79784,1710962919,826970552,crazy08/base_link,45884.0,39758.0,44456.0,38710.0
1710962919.8363974,79785,1710962919,835578542,crazy08/base_link,46864.0,40346.0,43956.0,37642.0
1710962919.8470876,79786,1710962919,846325445,crazy08/base_link,46316.0,36804.0,44708.0,42160.0
1710962919.8578644,79787,1710962919,857082259,crazy08/base_link,47113.0,40383.0,44153.0,38339.0
1710962919.8664367,79788,1710962919,865668665,crazy08/base_link,46947.0,40095.0,43895.0,38607.0
1710962919.8772266,79789,1710962919,876502158,crazy08/base_link,48207.0,40833.0,43515.0,37597.0
1710962919.8880863,79790,1710962919,887365658,crazy08/base_link,47110.0,40434.0,44262.0,38346.0
1710962919.8967073,79791,1710962919,895948480,crazy08/base_link,46808.0,39214.0,44578.0,38896.0
1710962919.9075625,79792,1710962919,906811540,crazy08/base_link,48707.0,42595.0,43047.0,36139.0
1710962919.9170215,79793,1710962919,916245496,crazy08/base_link,45280.0,36950.0,46498.0,41940.0
1710962919.9298515,79794,1710962919,929128463,crazy08/base_link,45732.0,40052.0,46030.0,38854.0
1710962919.9369216,79795,1710962919,936206679,crazy08/base_link,46567.0,38389.0,44489.0,39387.0
1710962919.9477801,79796,1710962919,947041622,crazy08/base_link,46240.0,38590.0,44734.0,39268.0
1710962919.9566586,79797,1710962919,955849152,crazy08/base_link,46537.0,39237.0,44953.0,37597.0
1710962919.967421,79798,1710962919,966706108,crazy08/base_link,45077.0,37941.0,46243.0,39987.0
1710962919.9764507,79799,1710962919,975519541,crazy08/base_link,47103.0,39245.0,44371.0,38205.0
1710962919.9884431,79800,1710962919,987608789,crazy08/base_link,46835.0,39569.0,44295.0,38225.0
1710962919.9973898,79801,1710962919,996668296,crazy08/base_link,47439.0,38813.0,44193.0,38031.0
1710962920.0063548,79802,1710962920,5543911,crazy08/base_link,49250.0,40480.0,42164.0,37430.0
1710962920.0179946,79803,1710962920,16996290,crazy08/base_link,48186.0,37866.0,43976.0,39296.0
1710962920.0273263,79804,1710962920,26566562,crazy08/base_link,46062.0,37836.0,45002.0,39700.0
1710962920.0362165,79805,1710962920,35313388,crazy08/base_link,46650.0,38012.0,44910.0,39028.0
1710962920.0472095,79806,1710962920,46421454,crazy08/base_link,43663.0,36781.0,47677.0,41151.0
1710962920.055879,79807,1710962920,55125539,crazy08/base_link,45284.0,36908.0,46374.0,40706.0
1710962920.066947,79808,1710962920,66161464,crazy08/base_link,46084.0,35146.0,43650.0,42368.0
1710962920.0761435,79809,1710962920,75389191,crazy08/base_link,44369.0,37871.0,45269.0,39739.0
1710962920.0874228,79810,1710962920,86604620,crazy08/base_link,46414.0,40600.0,43528.0,37318.0
1710962920.0961478,79811,1710962920,95399313,crazy08/base_link,46117.0,39637.0,43543.0,38563.0
1710962920.107592,79812,1710962920,106470773,crazy08/base_link,47922.0,40408.0,42074.0,37768.0
1710962920.1166453,79813,1710962920,115837892,crazy08/base_link,46115.0,43415.0,44159.0,35091.0
1710962920.127437,79814,1710962920,126690790,crazy08/base_link,46926.0,40624.0,43554.0,37676.0
1710962920.1359875,79815,1710962920,135118243,crazy08/base_link,46333.0,39483.0,44281.0,38411.0
