Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1710963008.8586655,90018,1710963008,854994059,mocap,crazy08/base_link,2.2151042977700817,1.14497070991489,0.8374669193384235,-0.0026568795787672763,0.0018480918895762886,0.05089647744948997,0.9986986903618517,"(8.102299839417659e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.102299839417659e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.102299839417659e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.102306845465505e-07, -5.07121680212107e-14, 8.104701883795013e-14, 0.0, 0.0, 0.0, -5.0712168021180833e-14, 8.102301887312847e-07, -9.012481574208627e-15, 0.0, 0.0, 0.0, 8.104701883792377e-14, -9.01248157422349e-15, 8.102307449245912e-07)",0.018823100351792785,-0.006846552990964773,0.023234149607162524,-1.1613640941379022,-0.4107932341371232,0.20996857199718189,"(0.016081058104030453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016081058104030453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016081058104030453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016081085460822087, -1.1156312446573032e-08, 5.208627537237715e-09, 0.0, 0.0, 0.0, -1.1156312446574018e-08, 0.01608107817907407, 4.753226847749447e-10, 0.0, 0.0, 0.0, 5.208627537236709e-09, 4.753226847754476e-10, 0.016081100190140474)"
1710963008.8668296,90019,1710963008,863954067,mocap,crazy08/base_link,2.2152012803731003,1.144866522007923,0.8376107099383235,-0.0011207908071794968,0.004534548989905742,0.051750768977244906,0.9986491073463497,"(7.64669025149086e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.64669025149086e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.64669025149086e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.646700992339398e-07, -1.9773356044582398e-12, 1.036476486918379e-12, 0.0, 0.0, 0.0, -1.9773356044582555e-12, 7.646747174842494e-07, 3.7814121735890005e-13, 0.0, 0.0, 0.0, 1.0364764869183765e-12, 3.7814121735876353e-13, 7.646753947456963e-07)",0.014296515111180515,-0.009291863219736617,0.01907663181986123,-0.36135938604172346,0.14281063289980844,0.19363565399790278,"(0.01732119498523118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01732119498523118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01732119498523118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017321222508138088, -4.7378946532789884e-08, 2.4310947200788927e-08, 0.0, 0.0, 0.0, -4.7378946532789864e-08, 0.01732133412253166, 6.795909633167429e-09, 0.0, 0.0, 0.0, 2.4310947200789615e-08, 6.795909633164544e-09, 0.017321351120554933)"
1710963008.8774357,90020,1710963008,873971224,mocap,crazy08/base_link,2.21518524820235,1.1448122412332666,0.8374160260083446,0.0016529907682247638,0.002542304095105613,0.05097403871773816,0.9986953748206626,"(7.838668890461121e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.838668890461121e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.838668890461121e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.838671763737105e-07, 1.7593760241959625e-13, 1.2552769422381056e-13, 0.0, 0.0, 0.0, 1.7593760241957638e-13, 7.838670857343886e-07, -1.292092849729495e-13, 0.0, 0.0, 0.0, 1.255276942237836e-13, -1.2920928497296879e-13, 7.838671575095706e-07)",0.00481654520890052,-0.007010602670468234,-0.00396540562440954,0.19842282710299852,-0.16365886057590673,-0.01583651807304426,"(0.017096732403030036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017096732403030036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017096732403030036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017096754765921, -2.7051377550398978e-08, 2.989079462893936e-08, 0.0, 0.0, 0.0, -2.705137755040274e-08, 0.01709686480814511, 3.016771030131433e-09, 0.0, 0.0, 0.0, 2.989079462894005e-08, 3.016771030131936e-09, 0.017096869340669937)"
1710963008.886673,90021,1710963008,883484364,mocap,crazy08/base_link,2.2153421325794054,1.1447089465914029,0.8377129682086286,0.0020633432414024987,0.005224621395770645,0.051505959589594426,0.998656889062839,"(7.774449333449367e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.774449333449367e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.774449333449367e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.774451317057112e-07, -1.606251824494841e-14, 1.386829515516255e-13, 0.0, 0.0, 0.0, -1.6062518244952265e-14, 7.774457453034375e-07, 3.706467573754742e-15, 0.0, 0.0, 0.0, 1.386829515515839e-13, 3.706467573770114e-15, 7.774458925022066e-07)",0.011492882836530053,-0.009197032399685353,0.016199225750157087,0.11722119402213516,0.25551919204340023,0.058274964203212154,"(0.017246978966610756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017246978966610756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017246978966610756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017246990282522245, -2.285091569121182e-09, 1.0767723921549965e-08, 0.0, 0.0, 0.0, -2.285091569123283e-09, 0.01724702234177298, -3.1106181980491917e-10, 0.0, 0.0, 0.0, 1.0767723921549806e-08, -3.1106181980399273e-10, 0.017247025468127248)"
1710963008.8963072,90022,1710963008,893440723,mocap,crazy08/base_link,2.215337196313564,1.1445928246969668,0.837645193819798,0.005900657998296562,0.003986075570263,0.051904915303298,0.998626643548061,"(7.850367247441276e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.850367247441276e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.850367247441276e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.850370638635744e-07, -1.7040650440371508e-13, 6.323892444919589e-14, 0.0, 0.0, 0.0, -1.704065044037366e-13, 7.850371258746643e-07, -4.755002216009266e-14, 0.0, 0.0, 0.0, 6.323892444927232e-14, -4.755002216007353e-14, 7.850373894074951e-07)",0.004400075838526151,-0.010683636341124658,0.0025740746709526866,0.5130789421779398,-0.019531436725347184,0.06789963208787018,"(0.017045461671210523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017045461671210523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017045461671210523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017045472397015614, -1.4184722322790856e-09, 8.841101240461472e-10, 0.0, 0.0, 0.0, -1.4184722322792147e-09, 0.017045471960636556, -2.2441382699915545e-09, 0.0, 0.0, 0.0, 8.841101240434473e-10, -2.2441382699902045e-09, 0.017045480155216168)"
1710963008.9055395,90023,1710963008,902413130,mocap,crazy08/base_link,2.215334522930362,1.144567964522735,0.837340167805139,0.009454788457863588,-0.004813045277296884,0.05064045716357329,0.9986605958325446,"(7.666532125163738e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.666532125163738e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.666532125163738e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.66653255619359e-07, 8.904064942739706e-14, -7.944990727235911e-14, 0.0, 0.0, 0.0, 8.90406494273632e-14, 7.666541867720599e-07, 9.19466680181218e-15, 0.0, 0.0, 0.0, -7.944990727237058e-14, 9.194666801879738e-15, 7.666541861855153e-07)",0.0017909493856233085,-0.0062701485086027854,-0.017552435019045923,0.7189062718103376,-1.0615686822738224,-0.1365661891403918,"(0.017582647943326597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017582647943326597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017582647943326597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01758265483296467, -2.456359810609323e-09, -4.563869102107587e-09, 0.0, 0.0, 0.0, -2.4563598106098507e-09, 0.017582679547777237, -1.470778887924127e-09, 0.0, 0.0, 0.0, -4.56386910210764e-09, -1.470778887921083e-09, 0.017582684486574976)"
1710963008.9168603,90024,1710963008,913771391,mocap,crazy08/base_link,2.215561355583305,1.1443158806499067,0.83789625882538,0.0038434540278413,-0.003880903695625354,0.05661655225940411,0.9983810557386755,"(8.091715359166396e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.091715359166396e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.091715359166396e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.091755747202842e-07, 2.3799124686450693e-12, 3.3034383141458246e-13, 0.0, 0.0, 0.0, 2.379912468645058e-12, 8.091730779839705e-07, -5.511179921705273e-13, 0.0, 0.0, 0.0, 3.30343831414492e-13, -5.511179921703747e-13, 8.091769603291216e-07)",0.013631733216650285,-0.01670319598119139,0.025451532527014112,-0.3943481853206159,-0.32129650237814933,0.6282924421283749,"(0.01634504381174578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01634504381174578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01634504381174578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016345217390841806, 1.2363278794280606e-07, 1.2839414684381333e-08, 0.0, 0.0, 0.0, 1.2363278794280654e-07, 0.016345153339589774, -2.080145829867579e-08, 0.0, 0.0, 0.0, 1.2839414684371115e-08, -2.0801458298672747e-08, 0.016345321255455784)"
1710963008.926636,90025,1710963008,922870636,mocap,crazy08/base_link,2.2157917696563314,1.1442559640161307,0.8380237996728394,0.0032574944608256386,0.0003602779099975093,0.05721190564000619,0.9983566781379675,"(7.693224645306431e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.693224645306431e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.693224645306431e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.693241449859656e-07, -3.408015715198899e-13, 1.1724550177940124e-12, 0.0, 0.0, 0.0, -3.4080157151984555e-13, 7.693250533830555e-07, 4.613040399157799e-13, 0.0, 0.0, 0.0, 1.1724550177940383e-12, 4.613040399157751e-13, 7.693236480160952e-07)",0.019793901076467738,-0.011025720502178576,0.018956008746963585,-0.27669425973566597,0.3557832088038293,0.3520018259409851,"(0.01726929370966382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01726929370966382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01726929370966382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017269466625936758, 6.200816937102797e-08, 2.6919476967305892e-08, 0.0, 0.0, 0.0, 6.200816937102924e-08, 0.017269398902147008, 1.5693884058494108e-08, 0.0, 0.0, 0.0, 2.6919476967304145e-08, 1.5693884058495458e-08, 0.017269490525694556)"
1710963008.9370248,90026,1710963008,933781385,mocap,crazy08/base_link,2.215971645650667,1.1442062789629066,0.837689805217021,-0.00031141793151148343,0.001159685071885231,0.05135628864381484,0.9986796732516948,"(7.999488157808059e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.999488157808059e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.999488157808059e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.999503610556965e-07, 8.357876343953854e-13, 2.663365252677802e-13, 0.0, 0.0, 0.0, 8.357876343954513e-13, 7.999496240534648e-07, -4.981785268403098e-13, 0.0, 0.0, 0.0, 2.663365252677721e-13, -4.981785268402779e-13, 7.999506688599701e-07)",0.01788961580124515,-0.00704201974324368,-0.012163876416239592,-0.5243490035390812,0.20273136603058653,-0.5443523067417666,"(0.016557417965903938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016557417965903938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016557417965903938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01655751075675315, 1.8451823666018782e-08, 3.4202493244299356e-08, 0.0, 0.0, 0.0, 1.8451823666017168e-08, 0.016557499251496584, -5.634605109967634e-09, 0.0, 0.0, 0.0, 3.420249324430269e-08, -5.634605109967978e-09, 0.016557491882491858)"
1710963008.9458349,90027,1710963008,942892313,mocap,crazy08/base_link,2.2160283481215073,1.1439977999440232,0.8376577824385795,0.0017204269987060672,0.0028895071291390024,0.05208577860333246,0.9986369523238914,"(7.692082964734608e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.692082964734608e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.692082964734608e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.692101937713718e-07, 4.222517321005738e-13, -9.704744924222697e-13, 0.0, 0.0, 0.0, 4.222517321004747e-13, 7.692108122451097e-07, 4.497890952433069e-13, 0.0, 0.0, 0.0, -9.704744924223391e-13, 4.4978909524335113e-13, 7.692097318078278e-07)",0.011340341988623761,-0.015626946547882794,-0.007319097348403804,0.001029139885834085,0.3093418025389243,-0.15549550115277022,"(0.017338930592195358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017338930592195358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017338930592195358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017338994495574668, 2.1982189915798664e-08, -1.3823682518182745e-08, 0.0, 0.0, 0.0, 2.1982189915791034e-08, 0.017339019017251926, 3.243602468438414e-09, 0.0, 0.0, 0.0, -1.3823682518181104e-08, 3.243602468439764e-09, 0.01733899555395699)"
