Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710963009.4196732,88564,1710963009,419109003,crazy08/base_link,44727.0,39345.0,44813.0,38115.0
1710963009.428867,88565,1710963009,428135301,crazy08/base_link,45473.0,39373.0,44607.0,37743.0
1710963009.4396296,88566,1710963009,439076542,crazy08/base_link,45803.0,39447.0,43785.0,38161.0
1710963009.4490912,88567,1710963009,448492246,crazy08/base_link,45760.0,40168.0,45020.0,37284.0
1710963009.460066,88568,1710963009,459153273,crazy08/base_link,46298.0,39924.0,44112.0,37898.0
1710963009.4687092,88569,1710963009,468075769,crazy08/base_link,46150.0,39320.0,44472.0,37990.0
1710963009.4824796,88570,1710963009,481856123,crazy08/base_link,46543.0,39479.0,43615.0,38515.0
1710963009.489832,88571,1710963009,489197474,crazy08/base_link,46971.0,39509.0,43811.0,38129.0
1710963009.5008872,88572,1710963009,500072088,crazy08/base_link,46855.0,38987.0,43303.0,38695.0
1710963009.509543,88573,1710963009,508718021,crazy08/base_link,46383.0,38107.0,44167.0,39183.0
1710963009.521468,88574,1710963009,520169183,crazy08/base_link,46491.0,37789.0,44077.0,40515.0
1710963009.5301118,88575,1710963009,529407727,crazy08/base_link,45916.0,38110.0,44298.0,39328.0
1710963009.5392687,88576,1710963009,538530505,crazy08/base_link,45472.0,37672.0,44428.0,40080.0
1710963009.548916,88577,1710963009,548177033,crazy08/base_link,45669.0,38969.0,44617.0,38625.0
1710963009.5594127,88578,1710963009,558753727,crazy08/base_link,45031.0,39315.0,44525.0,39009.0
1710963009.5702744,88579,1710963009,569669562,crazy08/base_link,45503.0,39293.0,44373.0,38287.0
1710963009.5791025,88580,1710963009,578562425,crazy08/base_link,44591.0,39989.0,44875.0,38001.0
1710963009.5900424,88581,1710963009,589440625,crazy08/base_link,42772.0,41246.0,47688.0,37026.0
1710963009.5986755,88582,1710963009,598189626,crazy08/base_link,44982.0,39100.0,45088.0,39562.0
1710963009.6096637,88583,1710963009,609105083,crazy08/base_link,45762.0,40028.0,44952.0,38506.0
1710963009.6196234,88584,1710963009,619066098,crazy08/base_link,45905.0,40883.0,44447.0,38013.0
1710963009.630841,88585,1710963009,630007676,crazy08/base_link,46024.0,39832.0,44384.0,38336.0
1710963009.6390805,88586,1710963009,638376857,crazy08/base_link,47109.0,39575.0,42967.0,39457.0
1710963009.6490438,88587,1710963009,648452132,crazy08/base_link,45492.0,40384.0,45264.0,38604.0
1710963009.6585696,88588,1710963009,657899418,crazy08/base_link,46665.0,40473.0,43785.0,38821.0
1710963009.6688159,88589,1710963009,668284034,crazy08/base_link,46473.0,40053.0,44251.0,38967.0
1710963009.6792176,88590,1710963009,678719659,crazy08/base_link,46375.0,40575.0,43861.0,38933.0
1710963009.6901522,88591,1710963009,689569775,crazy08/base_link,46148.0,40074.0,44518.0,39004.0
1710963009.6989622,88592,1710963009,698359845,crazy08/base_link,46061.0,39833.0,44371.0,39479.0
1710963009.7094727,88593,1710963009,708907136,crazy08/base_link,46159.0,39519.0,44543.0,39523.0
1710963009.7202733,88594,1710963009,719624885,crazy08/base_link,46339.0,40687.0,43827.0,38891.0
1710963009.7287543,88595,1710963009,728210142,crazy08/base_link,46478.0,40274.0,43928.0,39064.0
1710963009.7392392,88596,1710963009,738736544,crazy08/base_link,45997.0,40837.0,44011.0,38899.0
1710963009.7486725,88597,1710963009,748120745,crazy08/base_link,46030.0,40186.0,44402.0,39126.0
1710963009.7591171,88598,1710963009,758602280,crazy08/base_link,45552.0,40588.0,44378.0,39226.0
1710963009.7697527,88599,1710963009,769246360,crazy08/base_link,46040.0,40556.0,44316.0,38832.0
1710963009.7788,88600,1710963009,778202384,crazy08/base_link,45779.0,40719.0,43891.0,39355.0
1710963009.788996,88601,1710963009,788478666,crazy08/base_link,46002.0,40070.0,44156.0,39516.0
1710963009.799441,88602,1710963009,798900814,crazy08/base_link,45325.0,40769.0,44409.0,39241.0
1710963009.809535,88603,1710963009,808974080,crazy08/base_link,45877.0,41097.0,44451.0,38319.0
1710963009.819866,88604,1710963009,819359445,crazy08/base_link,45876.0,40740.0,43986.0,39142.0
1710963009.8287036,88605,1710963009,828179594,crazy08/base_link,46061.0,40853.0,44127.0,38703.0
1710963009.839324,88606,1710963009,838769992,crazy08/base_link,46154.0,40550.0,43848.0,39192.0
1710963009.8486593,88607,1710963009,848134244,crazy08/base_link,46627.0,40007.0,43701.0,39409.0
1710963009.8594725,88608,1710963009,858926001,crazy08/base_link,46489.0,8741.0,46489.0,65535.0
1710963009.8700013,88609,1710963009,869449011,crazy08/base_link,43512.0,24702.0,49780.0,57998.0
1710963009.8786795,88610,1710963009,878124859,crazy08/base_link,44448.0,29356.0,48824.0,53364.0
1710963009.8891983,88611,1710963009,888690043,crazy08/base_link,46470.0,33412.0,47108.0,49002.0
1710963009.9003758,88612,1710963009,899796299,crazy08/base_link,47777.0,40123.0,45539.0,42553.0
1710963009.9089992,88613,1710963009,908458110,crazy08/base_link,49123.0,44771.0,44575.0,38879.0
1710963009.9194067,88614,1710963009,918860799,crazy08/base_link,50597.0,50605.0,42355.0,33791.0
1710963009.9297867,88615,1710963009,929249780,crazy08/base_link,50847.0,50137.0,42633.0,33731.0
1710963009.939207,88616,1710963009,938672743,crazy08/base_link,51340.0,52894.0,40854.0,32260.0
1710963009.9490917,88617,1710963009,948582601,crazy08/base_link,50001.0,49817.0,44137.0,35105.0
1710963009.9598498,88618,1710963009,959280747,crazy08/base_link,47863.0,50699.0,44523.0,35975.0
1710963009.970392,88619,1710963009,969888835,crazy08/base_link,46735.0,44209.0,47295.0,40821.0
1710963009.9789,88620,1710963009,978344226,crazy08/base_link,45654.0,41924.0,47004.0,44478.0
1710963009.9899733,88621,1710963009,989418050,crazy08/base_link,44245.0,37753.0,49211.0,47851.0
1710963009.9981284,88622,1710963009,997605422,crazy08/base_link,43784.0,36316.0,48662.0,50298.0
1710963010.009847,88623,1710963010,9338478,crazy08/base_link,44935.0,36205.0,49767.0,50677.0
1710963010.0185254,88624,1710963010,18009914,crazy08/base_link,45979.0,37387.0,47483.0,50735.0
1710963010.0291936,88625,1710963010,28659796,crazy08/base_link,47770.0,37860.0,46668.0,49286.0
1710963010.0398376,88626,1710963010,39329640,crazy08/base_link,47934.0,41436.0,45630.0,46584.0
1710963010.049365,88627,1710963010,48838299,crazy08/base_link,49578.0,42866.0,44804.0,44336.0
1710963010.0598156,88628,1710963010,59218194,crazy08/base_link,49525.0,46357.0,43747.0,41955.0
1710963010.0685298,88629,1710963010,68007082,crazy08/base_link,49491.0,46951.0,44821.0,40161.0
1710963010.0789254,88630,1710963010,78422688,crazy08/base_link,49303.0,49489.0,43653.0,38979.0
1710963010.0895925,88631,1710963010,89027754,crazy08/base_link,48163.0,47285.0,46107.0,39869.0
1710963010.0983272,88632,1710963010,97822486,crazy08/base_link,46001.0,48259.0,47169.0,39995.0
1710963010.1093917,88633,1710963010,108898301,crazy08/base_link,48215.0,46631.0,45215.0,39719.0
1710963010.1203446,88634,1710963010,119653214,crazy08/base_link,44185.0,43575.0,48667.0,43353.0
1710963010.129087,88635,1710963010,128561883,crazy08/base_link,45121.0,40637.0,48599.0,45423.0
1710963010.1396658,88636,1710963010,139105971,crazy08/base_link,44386.0,39152.0,49342.0,46900.0
1710963010.1491895,88637,1710963010,148694429,crazy08/base_link,54134.0,17098.0,30082.0,58578.0
1710963010.1598437,88638,1710963010,159331964,crazy08/base_link,42876.0,30854.0,41476.0,44686.0
1710963010.1685855,88639,1710963010,168087206,crazy08/base_link,42608.0,31942.0,41896.0,43446.0
1710963010.1792538,88640,1710963010,178683415,crazy08/base_link,42183.0,34437.0,42777.0,40495.0
1710963010.1904447,88641,1710963010,189916937,crazy08/base_link,43165.0,36573.0,41517.0,38637.0
1710963010.1991231,88642,1710963010,198616432,crazy08/base_link,41763.0,38669.0,41475.0,35281.0
1710963010.2096229,88643,1710963010,209039434,crazy08/base_link,42201.0,39449.0,41327.0,34211.0
1710963010.2182004,88644,1710963010,217578361,crazy08/base_link,41638.0,39916.0,41616.0,34018.0
1710963010.2286396,88645,1710963010,228156613,crazy08/base_link,42035.0,38869.0,41693.0,34591.0
1710963010.2403712,88646,1710963010,239041909,crazy08/base_link,41952.0,40060.0,40754.0,32890.0
1710963010.2486634,88647,1710963010,248177731,crazy08/base_link,41836.0,37944.0,41200.0,34676.0
1710963010.2589939,88648,1710963010,258467475,crazy08/base_link,41408.0,35640.0,42000.0,36608.0
1710963010.2697363,88649,1710963010,269064255,crazy08/base_link,41755.0,33965.0,41249.0,38687.0
1710963010.2891586,88650,1710963010,288604666,crazy08/base_link,41952.0,32714.0,41314.0,39984.0
1710963010.2997158,88651,1710963010,299154601,crazy08/base_link,41809.0,30559.0,42595.0,41001.0
1710963010.3090336,88652,1710963010,308473606,crazy08/base_link,42197.0,30951.0,41239.0,41577.0
1710963010.3179748,88653,1710963010,317457399,crazy08/base_link,43972.0,39552.0,40468.0,32004.0
1710963010.3285925,88654,1710963010,328069212,crazy08/base_link,42245.0,34093.0,41561.0,38097.0
1710963010.3397827,88655,1710963010,339210610,crazy08/base_link,42273.0,31399.0,42321.0,40003.0
1710963010.3490553,88656,1710963010,348550802,crazy08/base_link,41788.0,34078.0,41910.0,38220.0
1710963010.3595018,88657,1710963010,358979177,crazy08/base_link,41694.0,32800.0,42512.0,38990.0
1710963010.3683186,88658,1710963010,367621372,crazy08/base_link,41240.0,33660.0,42362.0,38734.0
1710963010.3788261,88659,1710963010,378301821,crazy08/base_link,40785.0,35375.0,43459.0,36377.0
1710963010.3899522,88660,1710963010,389426291,crazy08/base_link,41752.0,35456.0,42134.0,36654.0
1710963010.399882,88661,1710963010,399321107,crazy08/base_link,43085.0,38297.0,41731.0,33547.0
1710963010.4087026,88662,1710963010,408121681,crazy08/base_link,42593.0,37575.0,41693.0,34799.0
1710963010.4191167,88663,1710963010,418629363,crazy08/base_link,43381.0,34887.0,41629.0,36763.0
1710963010.4294908,88664,1710963010,429008951,crazy08/base_link,42383.0,35319.0,41725.0,37233.0
1710963010.4380758,88665,1710963010,437599638,crazy08/base_link,42240.0,32714.0,42734.0,38972.0
1710963010.4497187,88666,1710963010,449145734,crazy08/base_link,42870.0,31586.0,41096.0,41108.0
1710963010.4586225,88667,1710963010,458044267,crazy08/base_link,42940.0,29386.0,42282.0,42052.0
1710963010.4696639,88668,1710963010,469140106,crazy08/base_link,43818.0,35294.0,41738.0,38054.0
1710963010.4783614,88669,1710963010,477819576,crazy08/base_link,44500.0,35082.0,42508.0,36814.0
1710963010.4887025,88670,1710963010,488153277,crazy08/base_link,43671.0,33663.0,42079.0,39491.0
1710963010.4992745,88671,1710963010,498704773,crazy08/base_link,43824.0,32114.0,43120.0,39846.0
1710963010.5097206,88672,1710963010,509172200,crazy08/base_link,43003.0,33711.0,42963.0,39227.0
1710963010.527512,88673,1710963010,526884123,crazy08/base_link,43958.0,31596.0,43040.0,40310.0
1710963010.5323856,88674,1710963010,531843304,crazy08/base_link,43722.0,32920.0,42312.0,39950.0
1710963010.539005,88675,1710963010,538508710,crazy08/base_link,43558.0,32282.0,43416.0,39648.0
1710963010.548674,88676,1710963010,548090029,crazy08/base_link,44174.0,33138.0,42012.0,39580.0
1710963010.5591874,88677,1710963010,558676285,crazy08/base_link,44689.0,32301.0,42025.0,39889.0
1710963010.5696924,88678,1710963010,569076404,crazy08/base_link,44066.0,32884.0,42192.0,39762.0
1710963010.57827,88679,1710963010,577753364,crazy08/base_link,44607.0,32773.0,41939.0,39585.0
1710963010.5888584,88680,1710963010,588336107,crazy08/base_link,44080.0,33886.0,41920.0,39018.0
1710963010.5993326,88681,1710963010,598782821,crazy08/base_link,43457.0,33741.0,43221.0,38485.0
1710963010.6079385,88682,1710963010,607375763,crazy08/base_link,43422.0,34402.0,42628.0,38452.0
1710963010.6189613,88683,1710963010,618425821,crazy08/base_link,44709.0,40881.0,43149.0,33733.0
1710963010.6298015,88684,1710963010,629260134,crazy08/base_link,44855.0,38427.0,42897.0,36293.0
1710963010.6388104,88685,1710963010,638252539,crazy08/base_link,45252.0,36290.0,42538.0,38392.0
