Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1710963008.8595436,-1.0677818059921265,-0.6336264610290527,41551.28125,0.0,0.0,0.4414236545562744
1710963008.8677218,-0.9519960284233093,-0.6843090057373047,41588.3046875,0.0,0.0,0.5380001068115234
1710963008.8777134,-0.7229717969894409,-0.6007351875305176,41878.82421875,0.0,0.0,0.445160835981369
1710963008.887248,-0.883700966835022,-0.6781492829322815,41605.3828125,0.0,0.0,0.5104283690452576
1710963008.897278,-0.7038409113883972,-0.6958527565002441,41770.07421875,0.0,0.0,0.5541362762451172
1710963008.9065113,-0.6459290981292725,-0.5786465406417847,42026.87109375,0.0,0.0,0.3998512923717499
1710963008.917415,-0.9083347916603088,-0.8865196704864502,41471.19140625,0.0,0.0,1.096315622329712
1710963008.9267955,-1.0719883441925049,-0.7699525952339172,41539.8515625,0.0,0.0,1.168591022491455
1710963008.9376729,-1.0356069803237915,-0.6511914730072021,41936.55078125,0.0,0.0,0.4939633011817932
1710963008.9468694,-0.8605434894561768,-0.8466159105300903,41866.95703125,0.0,0.0,0.5765634179115295
1710963008.9577312,-0.8742460012435913,-0.8540161848068237,41668.7265625,0.0,0.0,0.7450543642044067
1710963008.9675465,-0.876266598701477,-0.6253269910812378,41735.48828125,0.0,0.0,0.5846437811851501
1710963008.977904,-1.0456218719482422,-0.8442795276641846,41518.2734375,0.0,0.0,1.2428051233291626
1710963008.9873016,-0.9904226064682007,-0.8729884624481201,41520.49609375,0.0,0.0,1.3882014751434326
1710963008.9970238,-0.8508768081665039,-0.6726584434509277,41787.44921875,0.0,0.0,1.091058611869812
1710963009.0076876,-0.684686005115509,-0.7191192507743835,41934.078125,0.0,0.0,1.2498916387557983
1710963009.0167625,-0.7401081323623657,-0.9408776760101318,41833.60546875,0.0,0.0,1.4845119714736938
1710963009.0271225,-0.926249086856842,-0.776667058467865,41811.7421875,0.0,0.0,0.8762102127075195
1710963009.0380828,-1.0099616050720215,-0.8271236419677734,41714.140625,0.0,0.0,0.8325868248939514
1710963009.0469482,-0.9763082265853882,-0.9490550756454468,41729.9375,0.0,0.0,1.0234646797180176
1710963009.0570757,-1.0014485120773315,-0.7289831042289734,41798.56640625,0.0,0.0,0.92503821849823
1710963009.0678585,-0.810820996761322,-0.8965054154396057,41822.97265625,0.0,0.0,1.0806018114089966
1710963009.079627,-0.9386151432991028,-0.9258946180343628,41731.1796875,0.0,0.0,1.1694273948669434
1710963009.0876164,-1.1787976026535034,-0.872807502746582,41595.41796875,0.0,0.0,1.1579819917678833
1710963009.096523,-1.1827354431152344,-0.8844619989395142,41459.46484375,0.0,0.0,1.1303476095199585
1710963009.107034,-0.8717527389526367,-1.137598991394043,41694.44921875,0.0,0.0,1.2018177509307861
1710963009.117336,-0.8712754249572754,-0.968579888343811,41742.078125,0.0,0.0,0.9495335221290588
1710963009.1284168,-0.896372377872467,-0.9373941421508789,41737.18359375,0.0,0.0,0.978858232498169
1710963009.1381173,-0.8519214987754822,-0.9063053727149963,41823.6796875,0.0,0.0,1.0262975692749023
1710963009.1465807,-0.9463502764701843,-1.0433826446533203,41705.9609375,0.0,0.0,1.234379529953003
1710963009.157065,-0.7402681112289429,-0.8932179808616638,41891.8359375,0.0,0.0,0.9805027842521667
1710963009.166513,-0.7745682597160339,-0.9250327348709106,42016.25,0.0,0.0,0.7078315615653992
1710963009.1774101,-1.0441862344741821,-1.2325901985168457,41533.71875,0.0,0.0,1.2033641338348389
1710963009.187174,-0.823807418346405,-1.2920398712158203,41653.734375,0.0,0.0,0.9818009734153748
1710963009.1966887,-0.8576070666313171,-1.1561636924743652,41767.20703125,0.0,0.0,0.8914612531661987
1710963009.2067897,-0.9117923974990845,-1.1279217004776,41673.2578125,0.0,0.0,0.9445465207099915
1710963009.21728,-0.7193779945373535,-1.016258716583252,41927.95703125,0.0,0.0,0.6043012738227844
1710963009.227586,-0.6905278563499451,-1.0546811819076538,41873.19921875,0.0,0.0,0.5431168079376221
1710963009.2374482,-0.8488331437110901,-1.3501029014587402,41715.7734375,0.0,0.0,0.6824348568916321
1710963009.2468722,-1.2906800508499146,-1.1399928331375122,41360.3203125,0.0,0.0,0.9082345366477966
1710963009.2576041,-1.051463007926941,-1.2831515073776245,41555.6015625,0.0,0.0,1.0864074230194092
1710963009.2677667,-0.7992001175880432,-1.1026219129562378,41813.48046875,0.0,0.0,0.8166434168815613
1710963009.277608,-0.794806718826294,-1.2083418369293213,41841.71484375,0.0,0.0,0.8443421721458435
1710963009.2871032,-0.7901228070259094,-1.113914132118225,41850.34765625,0.0,0.0,0.5553487539291382
1710963009.297288,-0.6173537969589233,-1.2351245880126953,41933.71484375,0.0,0.0,0.6550254821777344
1710963009.308063,-0.646324872970581,-1.1665146350860596,41984.25,0.0,0.0,0.6290869116783142
1710963009.3167381,-0.8867943286895752,-1.2242724895477295,41683.734375,0.0,0.0,0.35455259680747986
1710963009.327608,-0.9696721434593201,-1.3246294260025024,41594.76953125,0.0,0.0,0.47393691539764404
1710963009.3384988,-1.122342586517334,-1.4650696516036987,41546.48828125,0.0,0.0,0.7330129742622375
1710963009.3488636,-0.8111353516578674,-1.5121756792068481,41765.52734375,0.0,0.0,1.0458847284317017
1710963009.35822,-0.4797095060348511,-1.3531684875488281,42188.7578125,0.0,0.0,0.9985477924346924
1710963009.3685327,-0.6088154911994934,-1.2578920125961304,41922.125,0.0,0.0,0.6892727017402649
1710963009.3795457,-0.6170969009399414,-1.3595327138900757,41855.88671875,0.0,0.0,0.6842061877250671
1710963009.387076,-0.8258275985717773,-1.285836935043335,41737.09765625,0.0,0.0,0.5324541926383972
1710963009.3969052,-0.7723910808563232,-1.3629363775253296,41814.9609375,0.0,0.0,0.6799896955490112
1710963009.4069815,-0.9518018364906311,-1.310441017150879,41750.18359375,0.0,0.0,0.6050782203674316
1710963009.4176939,-0.7590298056602478,-1.3933582305908203,41799.8046875,0.0,0.0,0.7309496402740479
1710963009.4276774,-0.6818364858627319,-1.4090383052825928,41915.296875,0.0,0.0,0.7839012145996094
1710963009.4376862,-0.5048089027404785,-1.4668594598770142,42058.29296875,0.0,0.0,0.6074050664901733
1710963009.4475605,-0.4568599462509155,-1.4416762590408325,42083.9140625,0.0,0.0,0.5931167006492615
1710963009.4576073,-0.6548261642456055,-1.3144582509994507,41983.03515625,0.0,0.0,0.28037214279174805
1710963009.4678502,-0.5249549746513367,-1.453389286994934,42038.2109375,0.0,0.0,0.4559645354747772
1710963009.4785755,-0.4096280634403229,-1.5608872175216675,42105.50390625,0.0,0.0,0.5814312100410461
1710963009.489018,-0.667517364025116,-1.3903217315673828,41960.87890625,0.0,0.0,0.2906785011291504
1710963009.4981468,-0.5388358235359192,-1.4237204790115356,42110.63671875,0.0,0.0,0.34242916107177734
1710963009.5079534,-1.0533651113510132,-1.452895998954773,42218.48046875,0.0,0.0,-0.26346054673194885
1710963009.5184083,-0.823727548122406,-1.3959670066833496,41913.87109375,0.0,0.0,0.12067317217588425
1710963009.5279603,-0.9732152223587036,-1.7233920097351074,41873.41796875,0.0,0.0,0.1680355817079544
1710963009.538991,-0.7865248322486877,-1.5054442882537842,41970.97265625,0.0,0.0,-0.0057349978014826775
1710963009.5465424,-0.6343442797660828,-1.5892541408538818,42057.3125,0.0,0.0,0.43975675106048584
1710963009.5575895,-0.9930884838104248,-1.6188299655914307,41864.49609375,0.0,0.0,0.12397142499685287
1710963009.5674324,-0.7248555421829224,-1.5718142986297607,42041.16015625,0.0,0.0,0.12802667915821075
1710963009.5785475,-0.5312239527702332,-1.4954129457473755,42183.6484375,0.0,0.0,0.07675173878669739
1710963009.5873535,-0.6280350089073181,-1.488026738166809,42255.3515625,0.0,0.0,0.010898033156991005
1710963009.5970843,-0.567430853843689,-1.5606036186218262,42312.87109375,0.0,0.0,0.14970806241035461
1710963009.606767,-0.5308675169944763,-1.5543780326843262,42355.66015625,0.0,0.0,0.1775786280632019
1710963009.6163087,-0.5814229846000671,-1.55316162109375,42144.76171875,0.0,0.0,0.23921556770801544
1710963009.6267722,-0.9477118849754333,-1.6248835325241089,42277.2578125,0.0,0.0,-0.2638329267501831
1710963009.6405318,-0.7467700839042664,-1.3794842958450317,42436.98046875,0.0,0.0,-0.5642899870872498
1710963009.6473756,-0.5673391819000244,-1.4709994792938232,42365.70703125,0.0,0.0,-0.3095727860927582
1710963009.8513854,-8.494834550010369,11.852803171893807,43998.1441587457,0.0,0.0,0.0
1710963009.8924248,-8.705103794632109,12.310366897945196,44337.43743726195,0.0,0.0,0.0
1710963009.9373689,-8.905984346024255,12.641748692062714,44765.66648514584,0.0,0.0,0.0
1710963009.995457,-9.091653484704182,12.528579701426658,45396.324041118256,0.0,0.0,0.0
1710963010.0576396,-9.226798009584291,12.282556337260045,45356.08110560454,0.0,0.0,0.0
1710963010.0980234,-9.304638624951782,11.816801622741703,44945.58998106809,0.0,0.0,0.0
1710963010.1417801,-13.069459786393807,12.109122283934159,39973.313766834704,0.0,0.0,0.0
1710963010.18324,-13.216945865887581,11.446638654447858,39297.09180014171,0.0,0.0,0.0
1710963010.2257411,-13.080709449593666,10.335747223572504,38914.65586318098,0.0,0.0,0.0
1710963010.2679503,-12.82295282783189,9.295199923356265,38991.603743594016,0.0,0.0,0.0
1710963010.3098614,-11.850967349432333,7.851028552891292,38999.29102175072,0.0,0.0,0.0
1710963010.384898,-10.742990160598204,5.847645066380597,39165.52758375559,0.0,0.0,0.0
1710963010.4572275,-8.65631891098682,3.319888509877048,39726.00346256767,0.0,0.0,0.0
1710963010.5164416,-7.265919840585931,1.8472462200223776,40186.26812129852,0.0,0.0,0.0
1710963010.6053164,-5.349156512551207,-0.5120709678176004,40618.84941481396,0.0,0.0,0.0
1710963010.6950977,-3.9089014353406824,-1.065153045362911,41827.234046071746,0.0,0.0,0.0
1710963010.7845302,-2.351506230492927,-2.6834630014374223,42070.33542999289,0.0,0.0,0.0
1710963010.8307648,-1.3577400794278454,-3.42727952736649,42307.937066420694,0.0,0.0,0.0
1710963010.87949,-0.7381460936024186,-3.6730520938177644,42557.34488188583,0.0,0.0,0.0
1710963010.9274511,-0.4785945013239539,-3.758077971963052,42483.74379602928,0.0,0.0,0.0
1710963011.0206196,-0.12622427355591992,-3.709615627013901,42277.440527412,0.0,0.0,0.0
1710963011.068613,0.5915696624655639,-4.1822479036748605,42109.059048484385,0.0,0.0,0.0
1710963011.1610847,0.06855840367267024,-3.5882239421423052,41444.936875845255,0.0,0.0,0.0
1710963011.2303967,0.922419444893086,-4.181740431162171,41364.75658567235,0.0,0.0,0.0
1710963011.2766373,0.9022675087846821,-4.109820307509904,41109.24803119466,0.0,0.0,0.0
1710963011.3375516,0.41790601728294874,-3.4486139514112715,40829.143896297275,0.0,0.0,0.0
1710963011.3827367,0.7529174813458189,-3.5292009075761084,41029.779350757584,0.0,0.0,0.0
1710963011.4300373,0.11880775420634257,-2.6766344090831002,40923.6927731555,0.0,0.0,0.0
1710963011.4817495,1.1085996380316783,-3.2954029904668043,40834.78243886103,0.0,0.0,0.0
1710963011.5417795,0.5863299861733127,-2.701031927404536,40767.04115285684,0.0,0.0,0.0
1710963011.5887766,-0.10491817713047674,-1.9521074274185748,40721.764225654224,0.0,0.0,0.0
1710963011.6340754,-0.28948968051840634,-1.5078036420703012,40697.34516651537,0.0,0.0,0.0
1710963011.6805725,-0.41483894708718727,-1.453834375771592,40473.441842450586,0.0,0.0,0.0
1710963011.7435155,-0.7117625489276634,-1.0097377422800555,40568.285745779605,0.0,0.0,0.0
1710963011.7882447,-0.21828700545575336,-1.125168717350709,40949.233367727145,0.0,0.0,0.0
1710963011.832786,-0.3019781098991876,-0.9953212658846441,40995.05420555793,0.0,0.0,0.0
1710963011.87794,-0.7002706979393801,-0.704542881289609,40627.759021044294,0.0,0.0,0.0
1710963011.9656355,-5.020844434623404,-11.471376950554038,41887.95694023891,0.0,0.0,0.0
1710963012.012459,-5.260909081868897,-11.747247065944203,41551.21185251714,0.0,0.0,0.0
1710963012.061184,-5.307939267516398,-12.081792561623747,42219.636756546,0.0,0.0,0.0
1710963012.1256034,-5.380823975162407,-12.088429280955413,42371.72277480231,0.0,0.0,0.0
1710963012.1757104,-5.398602911812661,-11.857407867612565,41876.617796029175,0.0,0.0,0.0
1710963012.2418423,-5.097297913655373,-10.979538917769794,41887.09168935142,0.0,0.0,0.0
1710963012.3422215,-5.045428000824278,-9.410666355325521,41716.57546418219,0.0,0.0,0.0
1710963012.416125,-4.041212669105909,-8.46655802844787,41109.48032469664,0.0,0.0,0.0
1710963012.463015,-3.6584306046040287,-7.395168115615429,41201.29820898854,0.0,0.0,0.0
1710963012.5115778,-2.917303217596953,-6.126770977071759,41222.20846262185,0.0,0.0,0.0
1710963012.5595717,-3.373643791315997,-5.59421416178356,41171.34058559029,0.0,0.0,0.0
1710963012.6146603,-2.4886003946784263,-4.4186862909452325,40905.74865952288,0.0,0.0,0.0
1710963012.6644409,-2.5112575928434477,-3.9085239918597976,40889.36342653332,0.0,0.0,0.0
1710963012.7646625,-1.254047786023628,-2.14600099739769,40881.69979180202,0.0,0.0,0.0
1710963012.8632782,1.1504019352604826,7.802924922794939,43769.72727253906,0.0,0.0,0.0
1710963012.9256825,2.1864489410947674,9.237965789402633,44113.14080692842,0.0,0.0,0.0
1710963012.9761276,2.2255444456428823,9.604967897418158,44429.10614055944,0.0,0.0,0.0
1710963013.030893,2.3660680143675448,10.02491698759294,44316.15967212762,0.0,0.0,0.0
1710963013.0777862,2.139236601744936,9.882240004130352,44367.63031253175,0.0,0.0,0.0
1710963013.1258395,2.4011536279561816,9.976090798093205,43988.67870625551,0.0,0.0,0.0
1710963013.1731725,1.9264203313452606,9.569682249135358,43844.57598625085,0.0,0.0,0.0
