Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1710963009.8512788,1,1710963009,851142168,base_link,2.1279424721723297,0.9790876251055032,0.892950056395499,0.10779786428326654,-0.0663989084779491,-0.007215916207046645,0.9919267795367742
1710963009.8923163,2,1710963009,892102241,base_link,2.1079651022755463,0.945924683885534,0.9062826504489171,0.11132327027367694,-0.06878214465202313,-0.007723700974537531,0.9913710155718182
1710963009.9371157,3,1710963009,936839342,base_link,2.0861301975980244,0.9096781877699021,0.9208549350772033,0.1142497435689618,-0.0703578860011992,-0.008111992479780316,0.9909242955694832
1710963009.995505,4,1710963009,995168924,base_link,2.057644273097983,0.862390829890852,0.9398660095858912,0.1138138494770039,-0.07130533303992795,-0.008190013682126324,0.9909060908194971
1710963010.0577412,5,1710963010,57350158,base_link,2.0274438890946107,0.8122574257090731,0.9600212883965988,0.11136939482186442,-0.07323179334657916,-0.00822949202547945,0.991043005021103
1710963010.0981572,6,1710963010,98024845,base_link,2.0074639597430686,0.7790902357292242,0.9733555905913525,0.10802768885042299,-0.07325021630535518,-0.007981585497117132,0.9914134952409147
1710963010.141678,7,1710963010,141064882,base_link,1.981693807212826,0.748780533114429,0.9720867259016032,0.11134420733070596,-0.10672884083453571,-0.012028449902446073,0.9879608992368865
1710963010.1838214,8,1710963010,183358192,base_link,1.951927726641256,0.715293692471413,0.9683659658301569,0.10602319804194665,-0.1080972290913628,-0.011595289608036987,0.988402559587253
1710963010.2259696,9,1710963010,225742340,base_link,1.9238432578126525,0.6836986650392339,0.9648554072265815,0.09686376313688572,-0.10721068820122617,-0.010495549094245129,0.9894509200438348
1710963010.2681913,10,1710963010,267961025,base_link,1.8962844398848135,0.652694994870415,0.9614105549856016,0.08988062344594751,-0.10388863801515624,-0.009427375957510939,0.9904745069929257
1710963010.3098729,11,1710963010,309606313,base_link,1.868756246023192,0.6217257767760906,0.9579695307528989,0.07645767982075789,-0.09694581799591469,-0.0074696153676761115,0.9923204806995513
1710963010.3846405,12,1710963010,384416341,base_link,1.8204532951550532,0.5673849570494346,0.9519316618943815,0.05898756971621273,-0.08854430767821085,-0.00525290146664608,0.9943102027148987
1710963010.4572444,13,1710963010,456986188,base_link,1.7709980149793516,0.5117477668517705,0.9457497518724188,0.036583429343453086,-0.07201908140465044,-0.0026433524188404626,0.996728607645578
1710963010.5166926,14,1710963010,516435861,base_link,1.7313678401834887,0.4671638202064247,0.940795980022936,0.022390727796454117,-0.06141242456222088,-0.001378017361799765,0.9978603461839163
1710963010.6055734,15,1710963010,605114459,base_link,1.67428224823032,0.4029425292591098,0.93366028102879,0.0005457459029954138,-0.0468726198284777,-2.5608691220268888e-05,0.9989007253055828
1710963010.6947994,16,1710963010,694632053,base_link,1.6150328025554042,0.33628690287482965,0.9262541003194255,-0.005829550779949041,-0.03486206920125596,0.00020335727856882996,0.999375110313704
1710963010.7848217,17,1710963010,784526824,base_link,1.553946892130748,0.2675652536470914,0.9186183615163435,-0.02147326329814152,-0.0225336446622152,0.0004841055152146573,0.9995153322803086
1710963010.8307874,18,1710963010,830480575,base_link,1.523492571191793,0.23330414259076693,0.9148115713989741,-0.02884901718634774,-0.014217065138539773,0.00041036068264669614,0.999482586576844
1710963010.879521,19,1710963010,879140615,base_link,1.4917976816054321,0.19764739180611102,0.910849710200679,-0.031457748637582474,-0.008881891782547209,0.00027955371845838473,0.9994655791465439
1710963010.9274049,20,1710963010,927098035,base_link,1.4598478589494852,0.16170384131817084,0.9068559823686856,-0.03236604973128782,-0.0067080859440228555,0.0002172329507977227,0.9994535473035274
1710963011.0206594,21,1710963011,20398616,base_link,1.397846714400572,0.09195255370064337,0.8991058393000715,-0.03218495560922901,-0.003598938864639207,0.00011589247971280054,0.9994754438406246
1710963011.0685887,22,1710963011,68255662,base_link,1.366104468543181,0.056242527111078355,0.8951380585678975,-0.036787871921268644,0.0021613381380959167,-7.956507464689693e-05,0.999320756697446
1710963011.1610806,23,1710963011,160754919,base_link,1.3047871449462076,-0.01273946193551645,0.8874733931182759,-0.031266896250150084,-0.0017123285974464933,5.3565468953934556e-05,0.9995096028855337
1710963011.2303698,24,1710963011,230074405,base_link,1.2589100837141805,-0.06435115582154705,0.8817387604642725,-0.036942646810194636,0.005565972187093343,-0.00020576539657830018,0.9993018655345697
