Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1710962281.4118226,18498,1710962281,406435728,mocap,crazy08/base_link,-1.6626649868910373,-1.4366208105175602,0.8299821626388126,0.006537501598241381,0.01062892557744696,-0.035914585284685,0.9992769533906914,"(8.365676024694256e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.365676024694256e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.365676024694256e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.365698377214955e-07, -1.894158778848402e-12, 6.977762525439105e-13, 0.0, 0.0, 0.0, -1.894158778848408e-12, 8.365699006253072e-07, 7.094176171483445e-13, 0.0, 0.0, 0.0, 6.977762525438681e-13, 7.094176171483013e-13, 8.365715889534011e-07)",0.01976605095512538,-0.007695699241510114,-0.011186003381098507,0.25090001384543337,0.8510298045478242,-0.33423930796164075,"(0.015841785243786793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015841785243786793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015841785243786793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015841991446350824, -1.9121215045095112e-07, 6.257705944104446e-08, 0.0, 0.0, 0.0, -1.9121215045095192e-07, 0.01584200950273622, 6.105703194869001e-08, 0.0, 0.0, 0.0, 6.257705944103597e-08, 6.105703194869401e-08, 0.015842174091463986)"
1710962281.4185152,18499,1710962281,413523912,mocap,crazy08/base_link,-1.6626325803074975,-1.436784139445853,0.829708772510302,0.0013752267388194815,0.0038142450094671054,-0.03511749589044367,0.9993749655503885,"(7.307708313270381e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.307708313270381e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.307708313270381e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.307748744219147e-07, -1.4745706025304226e-12, 5.32487382886971e-13, 0.0, 0.0, 0.0, -1.4745706025304345e-12, 7.307720533854541e-07, 1.3295428236783564e-12, 0.0, 0.0, 0.0, 5.324873828868975e-13, 1.3295428236785176e-12, 7.307750769543943e-07)",0.012503525971401041,-0.014156213691754072,-0.02279431296758643,-0.532723768037142,-0.3638020618471969,-0.07530837318706907,"(0.018308234135816222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018308234135816222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018308234135816222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018308392023284728, -1.1989989493076188e-07, 4.1011503573823735e-08, 0.0, 0.0, 0.0, -1.1989989493076458e-07, 0.018308377458733892, 4.9626818397494205e-08, 0.0, 0.0, 0.0, 4.1011503573813544e-08, 4.9626818397493014e-08, 0.018308499567599446)"
1710962281.4282494,18500,1710962281,422972441,mocap,crazy08/base_link,-1.6625019984613543,-1.4371657102834199,0.8295292714256757,0.0043501486565285935,0.009290255259580077,-0.03482404133910394,0.9993408094882953,"(7.720199479321206e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.720199479321206e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.720199479321206e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.720212503628015e-07, -1.4544638342898728e-12, 1.561124660470322e-13, 0.0, 0.0, 0.0, -1.4544638342898835e-12, 7.720216831908555e-07, 1.323286295615068e-13, 0.0, 0.0, 0.0, 1.5611246604699473e-13, 1.3232862956142036e-13, 7.720228438666934e-07)",0.013438560093040763,-0.030029462279343777,-0.02078755835193465,0.18187884622997563,0.5301626278489664,0.0038295847662130483,"(0.017805162553317398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017805162553317398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017805162553317398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01780524080555963, -5.168155726481214e-08, 6.033975405039404e-09, 0.0, 0.0, 0.0, -5.1681557264812616e-08, 0.017805234284901696, 1.8874385074882736e-08, 0.0, 0.0, 0.0, 6.033975405038531e-09, 1.8874385074876463e-08, 0.01780529318114863)"
1710962281.4383378,18501,1710962281,432875156,mocap,crazy08/base_link,-1.6625554738328012,-1.437546005314016,0.8291039052825722,0.00709899595869934,0.004869041142374418,-0.030116928340502204,0.9995093132743169,"(7.876185618804264e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.876185618804264e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.876185618804264e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.876200471746083e-07, -7.460609879897201e-13, 8.340749410510763e-14, 0.0, 0.0, 0.0, -7.46060987989728e-13, 7.876191045868411e-07, 1.0572083922640647e-13, 0.0, 0.0, 0.0, 8.34074941050887e-14, 1.0572083922636618e-13, 7.876204810225308e-07)",0.002216467401934444,-0.03515657397903242,-0.034133582630095964,0.39437567259049083,-0.33394134988648416,0.563740134596688,"(0.017137694782522236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017137694782522236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017137694782522236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01713774803834585, -2.5069156551660026e-08, -1.158599013664301e-09, 0.0, 0.0, 0.0, -2.5069156551660036e-08, 0.017137722042015087, 3.3600126640468336e-09, 0.0, 0.0, 0.0, -1.15859901365501e-09, 3.3600126640428896e-09, 0.017137770579973892)"
1710962281.4560544,18502,1710962281,450734854,mocap,crazy08/base_link,-1.6623683611898978,-1.4378926400262353,0.8290548023094153,0.007541576986717112,0.009137791472948784,-0.03161629193715638,0.9994298552013174,"(8.843646056507016e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.843646056507016e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.843646056507016e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.84366224513844e-07, 3.753000142158608e-13, -6.683649658426193e-13, 0.0, 0.0, 0.0, 3.75300014215932e-13, 8.843661733592605e-07, 7.125688524817113e-13, 0.0, 0.0, 0.0, -6.683649658425248e-13, 7.12568852481708e-13, 8.843657954087561e-07)",0.00885265635311325,-0.02390906142427262,-0.010437209154368424,0.14358176133144662,0.2992165272993228,0.0072495345635726904,"(0.01377601747074638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01377601747074638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01377601747074638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013776143510517654, 2.983644518253156e-08, -6.235576233716008e-08, 0.0, 0.0, 0.0, 2.983644518253359e-08, 0.013776152277851603, 4.867010003978141e-08, 0.0, 0.0, 0.0, -6.235576233716095e-08, 4.8670100039789324e-08, 0.013776102235130898)"
1710962281.4653776,18503,1710962281,459968805,mocap,crazy08/base_link,-1.6622031041315073,-1.4380603401118044,0.8290385447656069,0.008788303598421997,0.01055139390088108,-0.03315474001842196,0.999355891072321,"(7.676522154673906e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.676522154673906e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.676522154673906e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.676530324647154e-07, -1.5177892030481894e-13, -8.878217926544099e-14, 0.0, 0.0, 0.0, -1.5177892030488558e-13, 7.67652548831946e-07, 1.5439192562579082e-13, 0.0, 0.0, 0.0, -8.878217926528453e-14, 1.5439192562579082e-13, 7.676530293707083e-07)",0.012962396206069472,-0.020057217973884447,-0.005699710797964964,0.20314496410032684,0.28733659489299973,-0.1621294131690658,"(0.01647273558297517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01647273558297517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01647273558297517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01647280974860137, 1.2185740334666258e-08, -3.455856788113982e-08, 0.0, 0.0, 0.0, 1.2185740334668535e-08, 0.01647281106341916, 2.5009980285209576e-08, 0.0, 0.0, 0.0, -3.455856788114704e-08, 2.5009980285215797e-08, 0.016472789944005355)"
1710962281.4705567,18504,1710962281,465822458,mocap,crazy08/base_link,-1.6621321581443798,-1.4383149258041132,0.8284345070692158,0.006244545832567092,0.0060577618336953255,-0.0314063502699914,0.9994688340972225,"(6.857135248184214e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.857135248184214e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.857135248184214e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.857142687194006e-07, -1.51206219911465e-14, -1.3149443743874468e-13, 0.0, 0.0, 0.0, -1.5120621991108204e-14, 6.85714195007437e-07, 3.219853168164594e-13, 0.0, 0.0, 0.0, -1.3149443743875482e-13, 3.219853168164492e-13, 6.857141053149285e-07)",0.012278465695667705,-0.02858801950858135,-0.04333207280578076,-0.23533729992108876,-0.41777916699636747,0.13528984920297896,"(0.01991239116533057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01991239116533057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01991239116533057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019912431783999648, -2.1185916988931276e-09, -1.1945084840888497e-08, 0.0, 0.0, 0.0, -2.1185916988922475e-09, 0.019912425192287607, 1.1431410746240986e-08, 0.0, 0.0, 0.0, -1.1945084840893182e-08, 1.1431410746244666e-08, 0.019912427927729657)"
1710962281.478944,18505,1710962281,473604441,mocap,crazy08/base_link,-1.6619965922256452,-1.4385945687958341,0.8279569023644053,0.007191990523919988,0.004021497298386364,-0.029561989182157147,0.9995289848860855,"(7.360225813001643e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.360225813001643e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.360225813001643e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.360235010221129e-07, -2.89355541110966e-13, -2.3165549494088996e-14, 0.0, 0.0, 0.0, -2.8935554111096673e-13, 7.360231193134373e-07, 2.800822908910397e-13, 0.0, 0.0, 0.0, -2.3165549494153872e-14, 2.800822908910898e-13, 7.360235607444772e-07)",0.01524218272501566,-0.032940581362753366,-0.05373314031323381,0.017947793638222076,-0.4857284959028713,0.3214613870988917,"(0.019630650514589475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019630650514589475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019630650514589475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01963067448857849, -9.331379755368436e-09, 1.37086132569533e-09, 0.0, 0.0, 0.0, -9.331379755366682e-09, 0.01963066264198642, 6.82020102960386e-09, 0.0, 0.0, 0.0, 1.3708613256957271e-09, 6.820201029602033e-09, 0.019630677144853798)"
1710962281.4887896,18506,1710962281,483476639,mocap,crazy08/base_link,-1.6617613983152881,-1.4390664999802745,0.8281158753342366,0.005715874667561604,0.007092683682237936,-0.0306069392149885,0.9994899888877777,"(7.924723268073052e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.924723268073052e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.924723268073052e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.924732714110857e-07, 4.6249118301029826e-14, -5.897664940525959e-14, 0.0, 0.0, 0.0, 4.624911830105654e-14, 7.92472680231416e-07, 4.2603907714556347e-13, 0.0, 0.0, 0.0, -5.897664940518873e-14, 4.2603907714555903e-13, 7.92472989138542e-07)",0.020816025810913664,-0.042687191810148226,-0.01089375833116929,-0.16906501273365646,0.20500815987934146,-0.004000815954031234,"(0.017527603112348293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017527603112348293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017527603112348293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017527660425350283, -5.740134776138644e-09, 1.9902223740531554e-09, 0.0, 0.0, 0.0, -5.740134776140953e-09, 0.01752762094324515, 2.424781940457704e-08, 0.0, 0.0, 0.0, 1.9902223740518584e-09, 2.424781940457606e-08, 0.017527649138369787)"
1710962281.4977603,18507,1710962281,492752075,mocap,crazy08/base_link,-1.6615328760420576,-1.439585661499577,0.8282280564699026,0.01528588761839466,0.009262685834316008,-0.03221199007977077,0.9993212356324592,"(7.775814901626426e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.775814901626426e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.775814901626426e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.775818169634363e-07, 1.2439915952085748e-13, -1.7578509559000175e-14, 0.0, 0.0, 0.0, 1.2439915952085765e-13, 7.775816189092014e-07, 6.094249355977581e-14, 0.0, 0.0, 0.0, -1.7578509559010462e-14, 6.094249355974502e-14, 7.775819181350629e-07)",0.022931703040904642,-0.050109608738113896,0.002143177017386335,1.1011032090397848,0.31868459798644233,-0.206512134416005,"(0.017403851129213808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017403851129213808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017403851129213808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017403883279488837, 1.3224958509079683e-09, 9.846550573578661e-10, 0.0, 0.0, 0.0, 1.3224958509079063e-09, 0.01740386380255382, 1.2774189196215331e-08, 0.0, 0.0, 0.0, 9.846550573567809e-10, 1.2774189196213081e-08, 0.017403878560778067)"
