Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1710962282.3184264,1,1710962282,317930698,base_link,-1.6538453443145564,-1.463899683792788,0.8211293669922817,-0.09753811033572314,0.0743281818185549,-0.007305163730167535,0.992425449594356
1710962282.520767,2,1710962282,520060777,base_link,-1.535613088347604,-1.2999949222778757,0.8366162173966073,-0.0959943669050177,0.07634883243510773,-0.007385021629101075,0.9924219862356125
1710962282.5629058,3,1710962282,562824010,base_link,-1.5095079952026673,-1.2638055674249884,0.8400356368183226,-0.08214706864453991,0.07087098124186764,-0.005856514462808598,0.9940799084426116
1710962282.6508107,4,1710962282,650287151,base_link,-1.460173558373728,-1.1954134942399854,0.8464977907940109,-0.07544997962193215,0.06432936290586083,-0.004877743118243366,0.9950604209118402
1710962282.7120404,5,1710962282,711938142,base_link,-1.422546277522586,-1.1432509904974792,0.8514264633030263,-0.07137546618399192,0.06116839092113622,-0.004385382447065721,0.9955625240033545
1710962282.7697835,6,1710962282,769561529,base_link,-1.3888305600535709,-1.096511066727373,0.8558427731200621,-0.0715544883557921,0.05866642845219562,-0.0042159708369774234,0.9957009746699588
1710962282.8144305,7,1710962282,814344882,base_link,-1.3627040493701745,-1.0602920208523128,0.8592649979539845,-0.04861768761032446,0.04058269474232588,-0.001977009160571958,0.9979907097631997
1710962282.8998137,8,1710962282,899396181,base_link,-1.3146101428279424,-0.9936196883517098,0.8655646589888493,-0.03923142879503881,0.03631933631176587,-0.0014269015547220408,0.9985688582949729
1710962282.9582205,9,1710962282,957924365,base_link,-1.2789414249087978,-0.944172330215245,0.870236785846365,-0.03128593157103686,0.023294520522105178,-0.0007293460099935101,0.9992387221549089
1710962282.9998546,10,1710962282,999565124,base_link,-1.2546520679408948,-0.9105001209808418,0.8734183680186981,-0.051530661836465326,0.04002077743458019,-0.0020667053197405503,0.9978670537668578
1710962283.0677245,11,1710962283,67454814,base_link,-1.2150495343788947,-0.855599334678665,0.8786057723178972,-0.01469277306400011,0.006515580547005136,-9.574431442713894e-05,0.9998708218879334
1710962283.1093209,12,1710962283,109045028,base_link,-1.1907854879867823,-0.8219622133638387,0.8817840391419972,-0.046134936228130904,0.027915310020588703,-0.001289748585874881,0.9985442602480203
1710962283.150486,13,1710962283,150212049,base_link,-1.1667714948706536,-0.7886717396049686,0.8849295523182318,-0.0028087933775075785,-0.010092248602810492,2.834859662101962e-05,0.9999451266915894
1710962283.1912248,14,1710962283,190942525,base_link,-1.1430430187689873,-0.7557770765982593,0.8880376665693194,-0.01301747127374848,-0.003017893308161984,3.928884738543081e-05,0.9999107141230181
1710962283.2326503,15,1710962283,232376098,base_link,-1.1188738203924706,-0.7222714425941439,0.8912035095669715,-0.008742497736000351,-0.007395762719910792,6.466167860581078e-05,0.9999344314733813
1710962283.273082,16,1710962283,272637128,base_link,-1.0953677210695987,-0.6896850593592841,0.8942824954226104,-0.005319572540746988,-0.010417361845074627,5.5419703474843115e-05,0.9999315864842099
1710962283.3186934,17,1710962283,318091154,base_link,-1.0705703308964034,-0.6553085663346914,0.8975306231766584,-0.005055579243617215,-0.010985220551510036,5.5540714209986e-05,0.9999268788082334
1710962283.3670268,18,1710962283,366708517,base_link,-1.0405657728840654,-0.6137134036174441,0.9014608205461045,-0.006057095215986422,-0.01139446079917116,6.902308133468997e-05,0.9999167330815375
1710962283.4301298,19,1710962283,429812669,base_link,-1.0040590019736513,-0.5631042569779393,0.9062427211806707,0.04678942181585346,-0.05401961952551819,-0.0025340343294436695,0.9974398274494926
1710962283.4770706,20,1710962283,476916790,base_link,-0.977919140983783,-0.5268667036424527,0.909666694726884,-0.014869621911029435,-0.004078588250963137,6.065427575282303e-05,0.9998811208254514
1710962283.5674286,21,1710962283,567106246,base_link,-0.923656656126027,-0.45164290310613375,0.9167743573413396,-0.0036461919797444314,-0.013995812765324515,5.103675847111746e-05,0.9998954044820558
1710962283.6156178,22,1710962283,615427732,base_link,-0.8970799670652667,-0.41479977728793505,0.9202555495452786,-0.006858913577748622,-0.01180550464997847,8.098048472703287e-05,0.999906785058814
1710962283.7080495,23,1710962283,707656860,base_link,-0.843193535964133,-0.3400972981185464,0.9273139541275232,-0.003490258338792747,-0.014276578210923605,4.9834328674662123e-05,0.9998919916310239
1710962283.7933927,24,1710962283,793059110,base_link,-0.7918392048241001,-0.26890505595564895,0.9340406873482966,-0.0010911389897043616,-0.015571799799752917,1.6993068393487754e-05,0.9998781566660696
1710962283.8851018,25,1710962283,884947776,base_link,-0.739776853039488,-0.1967312884556236,0.9408601618410359,0.0003121702753666402,-0.016002228306103372,-4.996059975092399e-06,0.9998719074031422
1710962283.9648626,26,1710962283,964729309,base_link,-0.6917074235174059,-0.13009288832074817,0.9471566167123516,0.015854255920233328,-0.02780494687284358,-0.00044105276759972455,0.999487535175437
1710962284.0103948,27,1710962284,10158061,base_link,-0.6731630799618156,-0.09367384007636868,0.9515815399809079,-0.008696443717175999,-0.130135798773136,0.0011414697885613798,0.9914573832450256
1710962284.0773523,28,1710962284,77019929,base_link,-0.7027264956079821,-0.03454700878403555,0.9663632478039912,-0.010685047739172011,-0.13578973249332574,0.0014645710764466782,0.9906789759229601
1710962284.1228473,29,1710962284,122695207,base_link,-0.7226637344190215,0.0053274688380434004,0.9763318672095109,0.004947439412095774,-0.14969849362203538,-0.0007490745134616295,0.9887190312408932
