Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1710962281.4013577,-0.6332350969314575,-0.9431614875793457,43594.0625,0.0,0.0,-1.7600553035736084
1710962281.4126654,-0.8283896446228027,-0.5346385836601257,43273.8671875,0.0,0.0,-2.191638708114624
1710962281.419191,-0.6694222688674927,-0.6916447877883911,43443.5546875,0.0,0.0,-2.1084682941436768
1710962281.428974,-0.7172352075576782,-1.0563617944717407,43410.7890625,0.0,0.0,-2.067312717437744
1710962281.4389493,-0.4557853639125824,-1.1969730854034424,43590.3359375,0.0,0.0,-1.535120964050293
1710962281.4570005,-0.6008477807044983,-0.9537903666496277,43294.96875,0.0,0.0,-1.6998597383499146
1710962281.466101,-0.6946642398834229,-0.8637661337852478,43231.765625,0.0,0.0,-1.8719028234481812
1710962281.4713283,-0.6778234243392944,-1.0492074489593506,43724.140625,0.0,0.0,-1.6766703128814697
1710962281.4797337,-0.7443010210990906,-1.146193504333496,43866.12890625,0.0,0.0,-1.4633837938308716
1710962281.48953,-0.9042733907699585,-1.3891017436981201,43332.34375,0.0,0.0,-1.57353675365448
1710962281.498644,-0.9781980514526367,-1.5739675760269165,43133.10546875,0.0,0.0,-1.7403862476348877
1710962281.5196095,-0.775477945804596,-1.0255026817321777,43481.859375,0.0,0.0,-1.0005042552947998
1710962281.5240488,-0.7893860340118408,-1.1120792627334595,43688.6875,0.0,0.0,-0.9598087072372437
1710962281.5290437,-0.8800753951072693,-1.639830470085144,43673.12109375,0.0,0.0,-1.0930346250534058
1710962281.5401292,-1.098341464996338,-1.7088550329208374,43403.16796875,0.0,0.0,-1.1308636665344238
1710962281.5490708,-0.7830782532691956,-1.401884913444519,43475.96875,0.0,0.0,-0.9223105907440186
1710962281.5595493,-0.7909606695175171,-1.3355886936187744,43447.60546875,0.0,0.0,-0.9906023740768433
1710962281.568904,-0.9960748553276062,-1.4524329900741577,43337.2109375,0.0,0.0,-0.9391545057296753
1710962281.5795372,-0.9889839887619019,-1.3137845993041992,43350.29296875,0.0,0.0,-1.171966552734375
1710962281.5962799,-0.7419536709785461,-1.513711929321289,43473.26171875,0.0,0.0,-1.050381064414978
1710962281.6071455,-0.7741844058036804,-1.1676586866378784,43752.71484375,0.0,0.0,-0.7153283953666687
1710962281.6133072,-1.0074129104614258,-1.7095763683319092,43600.9765625,0.0,0.0,-0.6907749772071838
1710962281.621311,-1.2112293243408203,-2.0779824256896973,43227.984375,0.0,0.0,-0.7978277802467346
1710962281.6318877,-0.7906029224395752,-1.709797739982605,43267.30078125,0.0,0.0,-0.4484547972679138
1710962281.639886,-0.8798049688339233,-1.6472063064575195,43462.55078125,0.0,0.0,-0.4884599447250366
1710962281.6499534,-1.165740728378296,-1.6620404720306396,43775.34375,0.0,0.0,-0.6801977157592773
1710962281.6669357,-0.8461388349533081,-1.568424105644226,43216.40625,0.0,0.0,-0.4074161946773529
1710962281.673633,-0.8420506119728088,-2.0220437049865723,43170.94921875,0.0,0.0,-0.229511559009552
1710962281.6823514,-0.8816329836845398,-2.2552990913391113,43275.71484375,0.0,0.0,-0.14603571593761444
1710962281.6908448,-0.9927643537521362,-2.062197685241699,43318.48046875,0.0,0.0,-0.19285422563552856
1710962281.6992443,-1.1362004280090332,-2.1370601654052734,43144.91796875,0.0,0.0,0.002717531519010663
1710962281.7095537,-0.9523229598999023,-1.8757611513137817,43589.61328125,0.0,0.0,-0.07751542329788208
1710962281.718693,-1.0103143453598022,-2.163485527038574,43642.62109375,0.0,0.0,-0.016229165717959404
1710962281.7356606,-0.8570894002914429,-1.916321873664856,43254.578125,0.0,0.0,0.14536532759666443
1710962281.7432597,-0.9118373990058899,-2.158447742462158,43232.46484375,0.0,0.0,0.5363003611564636
1710962281.750878,-0.8479483127593994,-2.2762367725372314,43416.12109375,0.0,0.0,0.46882009506225586
1710962281.7588363,-1.029045820236206,-2.5848240852355957,43267.1796875,0.0,0.0,0.3658429682254791
1710962281.7695675,-0.9343089461326599,-2.5673720836639404,43332.4375,0.0,0.0,0.5579928159713745
1710962281.7849505,-0.853177547454834,-2.236403226852417,43297.71875,0.0,0.0,0.8068436980247498
