Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710962845.465662,72407,1710962845,464401883,crazy08/base_link,50978.0,37128.0,42212.0,37402.0
1710962845.4734712,72408,1710962845,472551588,crazy08/base_link,48481.0,38087.0,44559.0,36593.0
1710962845.4815845,72409,1710962845,480534805,crazy08/base_link,48243.0,38161.0,45669.0,35919.0
1710962845.5046632,72410,1710962845,503574298,crazy08/base_link,46826.0,39292.0,46954.0,36016.0
1710962845.513863,72411,1710962845,512927718,crazy08/base_link,47524.0,38140.0,45962.0,37462.0
1710962845.5223644,72412,1710962845,521441897,crazy08/base_link,46853.0,36729.0,46145.0,37877.0
1710962845.533466,72413,1710962845,532404438,crazy08/base_link,47609.0,36591.0,45163.0,38241.0
1710962845.5434215,72414,1710962845,542511088,crazy08/base_link,47999.0,36927.0,45313.0,38053.0
1710962845.5522707,72415,1710962845,551318040,crazy08/base_link,47771.0,36301.0,44933.0,38671.0
1710962845.5636582,72416,1710962845,562637379,crazy08/base_link,47093.0,36791.0,45539.0,38253.0
1710962845.5731523,72417,1710962845,572261852,crazy08/base_link,47787.0,37009.0,45533.0,38455.0
1710962845.5813656,72418,1710962845,580404647,crazy08/base_link,47453.0,36417.0,45697.0,39217.0
1710962845.5928416,72419,1710962845,591885718,crazy08/base_link,46964.0,36828.0,45896.0,38536.0
1710962845.6033375,72420,1710962845,602347863,crazy08/base_link,46772.0,37452.0,45618.0,38382.0
1710962845.6145847,72421,1710962845,613636656,crazy08/base_link,47366.0,36984.0,45184.0,38138.0
1710962845.621628,72422,1710962845,620707137,crazy08/base_link,47811.0,37635.0,45075.0,38003.0
1710962845.6330123,72423,1710962845,631508246,crazy08/base_link,47471.0,38599.0,45471.0,36983.0
1710962845.6433947,72424,1710962845,642442048,crazy08/base_link,46717.0,38135.0,45467.0,37957.0
1710962845.6517289,72425,1710962845,650814179,crazy08/base_link,47129.0,37855.0,45705.0,38175.0
1710962845.6633573,72426,1710962845,662065384,crazy08/base_link,46989.0,38699.0,45197.0,37979.0
1710962845.672609,72427,1710962845,671545056,crazy08/base_link,47547.0,38003.0,44723.0,37615.0
1710962845.683516,72428,1710962845,682550743,crazy08/base_link,47583.0,38261.0,44809.0,37743.0
1710962845.6929057,72429,1710962845,691917476,crazy08/base_link,47905.0,37149.0,44719.0,38623.0
1710962845.7017128,72430,1710962845,700673802,crazy08/base_link,46981.0,38069.0,44895.0,38335.0
1710962845.7133691,72431,1710962845,712381769,crazy08/base_link,47136.0,37902.0,45424.0,37818.0
1710962845.7220535,72432,1710962845,721085723,crazy08/base_link,47609.0,37357.0,44225.0,39061.0
1710962845.7328553,72433,1710962845,731906152,crazy08/base_link,46443.0,38203.0,45823.0,37783.0
1710962845.7442036,72434,1710962845,743267718,crazy08/base_link,46100.0,37168.0,45400.0,39568.0
1710962845.7531247,72435,1710962845,752194292,crazy08/base_link,47137.0,37293.0,45209.0,38997.0
1710962845.782489,72436,1710962845,781494030,crazy08/base_link,46758.0,38104.0,44992.0,38850.0
1710962845.793214,72437,1710962845,792275259,crazy08/base_link,47217.0,37637.0,44993.0,38857.0
1710962845.8017704,72438,1710962845,800563273,crazy08/base_link,46531.0,38065.0,44993.0,39095.0
1710962845.810903,72439,1710962845,809552088,crazy08/base_link,46765.0,38479.0,45421.0,37999.0
1710962845.822085,72440,1710962845,820726598,crazy08/base_link,46551.0,38471.0,44959.0,38347.0
