Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710962965.4230855,84315,1710962965,421510938,crazy08/base_link,46413.0,39901.0,42787.0,38559.0
1710962965.4331603,84316,1710962965,432476683,crazy08/base_link,46042.0,39604.0,43268.0,38746.0
1710962965.4434607,84317,1710962965,442783118,crazy08/base_link,45317.0,39591.0,43907.0,39261.0
1710962965.4540145,84318,1710962965,453417972,crazy08/base_link,45443.0,40247.0,44067.0,38319.0
1710962965.462551,84319,1710962965,461905280,crazy08/base_link,44825.0,39331.0,44239.0,39253.0
1710962965.4732819,84320,1710962965,472537365,crazy08/base_link,47451.0,37375.0,41393.0,41085.0
1710962965.482613,84321,1710962965,482012277,crazy08/base_link,45066.0,39092.0,43898.0,39248.0
1710962965.4937136,84322,1710962965,493014871,crazy08/base_link,45795.0,38609.0,43075.0,39557.0
1710962965.5023081,84323,1710962965,501562866,crazy08/base_link,45427.0,39257.0,43629.0,39395.0
1710962965.5131266,84324,1710962965,512417538,crazy08/base_link,45919.0,39029.0,43233.0,39527.0
1710962965.5216095,84325,1710962965,520909418,crazy08/base_link,45796.0,40004.0,43400.0,38608.0
1710962965.532515,84326,1710962965,531849808,crazy08/base_link,45930.0,39840.0,43464.0,38574.0
1710962965.5432744,84327,1710962965,542570288,crazy08/base_link,45613.0,39575.0,43677.0,38539.0
1710962965.55395,84328,1710962965,553258270,crazy08/base_link,45490.0,39954.0,43328.0,38632.0
1710962965.5628538,84329,1710962965,562245766,crazy08/base_link,44724.0,40374.0,43890.0,37768.0
1710962965.574648,84330,1710962965,573763403,crazy08/base_link,44814.0,40012.0,43632.0,38298.0
1710962965.5834544,84331,1710962965,582760547,crazy08/base_link,44523.0,40875.0,44419.0,37811.0
1710962965.592329,84332,1710962965,591578690,crazy08/base_link,43918.0,40392.0,45020.0,37914.0
1710962965.6030788,84333,1710962965,602467848,crazy08/base_link,43389.0,40381.0,45615.0,38091.0
1710962965.614236,84334,1710962965,613564684,crazy08/base_link,44520.0,39362.0,44344.0,39250.0
1710962965.6227605,84335,1710962965,622081882,crazy08/base_link,44351.0,39245.0,44733.0,39003.0
1710962965.633541,84336,1710962965,632910982,crazy08/base_link,44105.0,39577.0,44923.0,38847.0
1710962965.6429603,84337,1710962965,642135254,crazy08/base_link,45320.0,39658.0,43894.0,38580.0
1710962965.6535435,84338,1710962965,652744364,crazy08/base_link,45815.0,39739.0,43403.0,38527.0
1710962965.6618607,84339,1710962965,661186080,crazy08/base_link,46222.0,38992.0,43452.0,38518.0
1710962965.672362,84340,1710962965,671682958,crazy08/base_link,45871.0,38289.0,43103.0,39585.0
1710962965.68175,84341,1710962965,681171044,crazy08/base_link,46428.0,39026.0,43112.0,38282.0
1710962965.692493,84342,1710962965,691838352,crazy08/base_link,46385.0,38717.0,43191.0,39379.0
1710962965.7031531,84343,1710962965,702524594,crazy08/base_link,45770.0,39220.0,44630.0,38052.0
1710962965.7113345,84344,1710962965,710732930,crazy08/base_link,46016.0,39472.0,43814.0,38258.0
1710962965.7230515,84345,1710962965,722377501,crazy08/base_link,46290.0,39146.0,44478.0,37874.0
1710962965.7315767,84346,1710962965,730966515,crazy08/base_link,45406.0,40152.0,44456.0,37774.0
1710962965.7432225,84347,1710962965,742604685,crazy08/base_link,45158.0,38636.0,45220.0,38218.0
1710962965.7526522,84348,1710962965,751782968,crazy08/base_link,45088.0,39218.0,44644.0,38282.0
1710962965.7632108,84349,1710962965,762437780,crazy08/base_link,45518.0,38378.0,45326.0,38382.0
1710962965.7718546,84350,1710962965,771083906,crazy08/base_link,44814.0,38506.0,45070.0,39106.0
1710962965.7830253,84351,1710962965,782069950,crazy08/base_link,45828.0,38600.0,44594.0,38474.0
1710962965.7933795,84352,1710962965,792426535,crazy08/base_link,45120.0,38942.0,44890.0,38564.0
1710962965.8038175,84353,1710962965,802958444,crazy08/base_link,46005.0,38693.0,44583.0,38235.0
1710962965.812826,84354,1710962965,811681644,crazy08/base_link,45755.0,39199.0,44059.0,37959.0
1710962965.823065,84355,1710962965,822172256,crazy08/base_link,46503.0,39855.0,44293.0,36513.0
1710962965.8334923,84356,1710962965,832609112,crazy08/base_link,46467.0,39505.0,43563.0,37629.0
1710962965.841913,84357,1710962965,840981736,crazy08/base_link,46448.0,39188.0,44820.0,37604.0
1710962965.8526802,84358,1710962965,851873930,crazy08/base_link,46414.0,38942.0,44168.0,38536.0
1710962965.8616505,84359,1710962965,860487418,crazy08/base_link,46266.0,38552.0,44812.0,37962.0
1710962965.8730538,84360,1710962965,872247396,crazy08/base_link,45744.0,38120.0,44518.0,38970.0
1710962965.8817928,84361,1710962965,880967338,crazy08/base_link,46235.0,37537.0,44723.0,38857.0
1710962965.8930943,84362,1710962965,892401178,crazy08/base_link,45242.0,38246.0,44946.0,38814.0
1710962965.9037836,84363,1710962965,903101275,crazy08/base_link,45578.0,37898.0,44930.0,38842.0
1710962965.9112096,84364,1710962965,910592067,crazy08/base_link,45651.0,38349.0,44679.0,38969.0
1710962965.922676,84365,1710962965,922007307,crazy08/base_link,46707.0,38101.0,44267.0,38285.0
1710962965.9333243,84366,1710962965,932637648,crazy08/base_link,45711.0,37777.0,44605.0,39267.0
1710962965.9416795,84367,1710962965,940948005,crazy08/base_link,46442.0,39660.0,44538.0,37540.0
1710962965.9539921,84368,1710962965,953350671,crazy08/base_link,46286.0,38916.0,44366.0,38612.0
1710962965.962485,84369,1710962965,961740942,crazy08/base_link,46749.0,38351.0,43991.0,38481.0
1710962965.973112,84370,1710962965,972191775,crazy08/base_link,46887.0,39093.0,43761.0,38135.0
1710962965.9816747,84371,1710962965,980793734,crazy08/base_link,46809.0,39127.0,44163.0,37777.0
1710962965.9930794,84372,1710962965,992178721,crazy08/base_link,46653.0,39527.0,43901.0,37887.0
1710962966.0006373,84373,1710962965,999849588,crazy08/base_link,46483.0,39581.0,44343.0,37561.0
1710962966.0110328,84374,1710962966,10236295,crazy08/base_link,46201.0,40329.0,44785.0,37317.0
1710962966.021564,84375,1710962966,20766361,crazy08/base_link,45876.0,39124.0,44998.0,38286.0
1710962966.0328329,84376,1710962966,32061965,crazy08/base_link,46563.0,39391.0,43941.0,38121.0
1710962966.0435548,84377,1710962966,42721666,crazy08/base_link,46269.0,39279.0,44819.0,37649.0
1710962966.0518758,84378,1710962966,51136765,crazy08/base_link,45345.0,39233.0,45407.0,37995.0
1710962966.0615587,84379,1710962966,60821302,crazy08/base_link,46001.0,39439.0,45087.0,37453.0
1710962966.072775,84380,1710962966,72118837,crazy08/base_link,45432.0,40032.0,45200.0,37272.0
1710962966.082205,84381,1710962966,81551216,crazy08/base_link,46259.0,38177.0,44793.0,38707.0
1710962966.0944955,84382,1710962966,93818402,crazy08/base_link,46380.0,39408.0,43972.0,37796.0
1710962966.102915,84383,1710962966,102338053,crazy08/base_link,46947.0,38949.0,44151.0,37681.0
1710962966.1106384,84384,1710962966,110046908,crazy08/base_link,46248.0,39038.0,44470.0,37972.0
1710962966.1222863,84385,1710962966,121704394,crazy08/base_link,48205.0,38907.0,42683.0,37677.0
1710962966.1325533,84386,1710962966,131892606,crazy08/base_link,46847.0,39107.0,43483.0,37783.0
1710962966.14318,84387,1710962966,142257982,crazy08/base_link,46340.0,38480.0,44760.0,37640.0
1710962966.1512828,84388,1710962966,150645908,crazy08/base_link,46685.0,38669.0,43859.0,38151.0
1710962966.1623406,84389,1710962966,161497997,crazy08/base_link,44970.0,37982.0,45876.0,38536.0
1710962966.172968,84390,1710962966,172092766,crazy08/base_link,44540.0,38936.0,46086.0,38094.0
1710962966.1819825,84391,1710962966,181400573,crazy08/base_link,44204.0,38664.0,46684.0,38104.0
1710962966.1924903,84392,1710962966,191875097,crazy08/base_link,44983.0,38419.0,45425.0,38829.0
1710962966.2031105,84393,1710962966,202438276,crazy08/base_link,44893.0,38189.0,45545.0,39029.0
1710962966.2115698,84394,1710962966,210816209,crazy08/base_link,45297.0,38375.0,44955.0,39029.0
1710962966.2216995,84395,1710962966,221046638,crazy08/base_link,45847.0,38255.0,44155.0,39399.0
1710962966.2318547,84396,1710962966,231259387,crazy08/base_link,45861.0,38873.0,44131.0,38791.0
1710962966.2420058,84397,1710962966,241383062,crazy08/base_link,46344.0,38056.0,43292.0,39964.0
1710962966.2525437,84398,1710962966,251923230,crazy08/base_link,46540.0,37692.0,43366.0,40058.0
1710962966.2611413,84399,1710962966,260368430,crazy08/base_link,46433.0,38453.0,43123.0,39647.0
1710962966.271354,84400,1710962966,270732851,crazy08/base_link,46210.0,38734.0,43554.0,39158.0
1710962966.2823956,84401,1710962966,281799760,crazy08/base_link,46045.0,38779.0,43495.0,39337.0
1710962966.2924678,84402,1710962966,291783861,crazy08/base_link,46344.0,38612.0,43172.0,39528.0
1710962966.3030653,84403,1710962966,302419875,crazy08/base_link,45303.0,39319.0,43933.0,39101.0
1710962966.311672,84404,1710962966,311126504,crazy08/base_link,45356.0,39656.0,44280.0,38364.0
1710962966.3221266,84405,1710962966,321477203,crazy08/base_link,45020.0,39766.0,44014.0,38856.0
1710962966.3325899,84406,1710962966,331971216,crazy08/base_link,45455.0,38747.0,43997.0,39457.0
1710962966.3412654,84407,1710962966,340700213,crazy08/base_link,18828.0,46360.0,63070.0,25070.0
1710962966.351647,84408,1710962966,350978829,crazy08/base_link,27777.0,48295.0,54567.0,22689.0
1710962966.3619764,84409,1710962966,361323767,crazy08/base_link,31413.0,45925.0,50395.0,25595.0
1710962966.37239,84410,1710962966,371654755,crazy08/base_link,36764.0,40588.0,45352.0,30624.0
1710962966.381547,84411,1710962966,380921579,crazy08/base_link,43078.0,36554.0,38416.0,35280.0
1710962966.392006,84412,1710962966,391394474,crazy08/base_link,46484.0,32828.0,35684.0,38332.0
1710962966.4022746,84413,1710962966,401690922,crazy08/base_link,51739.0,27667.0,29645.0,44277.0
1710962966.4113514,84414,1710962966,410721134,crazy08/base_link,48282.0,32050.0,34820.0,39572.0
1710962966.4217396,84415,1710962966,421056406,crazy08/base_link,53957.0,23961.0,28843.0,47963.0
1710962966.432405,84416,1710962966,431572311,crazy08/base_link,50225.0,27545.0,33129.0,43825.0
1710962966.4410405,84417,1710962966,440433278,crazy08/base_link,49885.0,26077.0,33397.0,45365.0
1710962966.4514086,84418,1710962966,450847127,crazy08/base_link,44271.0,31447.0,39093.0,39913.0
1710962966.4622498,84419,1710962966,461556855,crazy08/base_link,43387.0,33789.0,41641.0,39347.0
1710962966.470844,84420,1710962966,470192989,crazy08/base_link,39204.0,38400.0,45524.0,35036.0
1710962966.4817562,84421,1710962966,481149421,crazy08/base_link,37968.0,41156.0,46062.0,32978.0
1710962966.4923284,84422,1710962966,491593362,crazy08/base_link,36872.0,43468.0,47374.0,30450.0
1710962966.50252,84423,1710962966,501849416,crazy08/base_link,36524.0,44244.0,47082.0,30314.0
1710962966.5107498,84424,1710962966,510164110,crazy08/base_link,38399.0,44315.0,45535.0,29915.0
1710962966.5210407,84425,1710962966,520307997,crazy08/base_link,40337.0,44417.0,43423.0,29987.0
1710962966.5316,84426,1710962966,530894535,crazy08/base_link,42095.0,42403.0,42027.0,31639.0
1710962966.5420117,84427,1710962966,541424565,crazy08/base_link,44246.0,39500.0,39044.0,35374.0
1710962966.5525818,84428,1710962966,552000627,crazy08/base_link,47092.0,37524.0,39266.0,39414.0
