Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1710962965.426285,-0.05946505814790726,-0.9283357262611389,42019.828125,0.0,0.0,-2.19563364982605
1710962965.4358494,0.09563068300485611,-0.9777093529701233,41915.2578125,0.0,0.0,-2.082442283630371
1710962965.4467149,0.19550594687461853,-1.0322760343551636,41912.35546875,0.0,0.0,-1.8492233753204346
1710962965.4560933,-0.04342739284038544,-0.997040867805481,41839.28515625,0.0,0.0,-1.932421326637268
1710962965.4657211,-0.28907904028892517,-1.104926347732544,41826.65625,0.0,0.0,-2.4070987701416016
1710962965.476557,-0.3517515957355499,-1.1796362400054932,41759.32421875,0.0,0.0,-2.390195608139038
1710962965.4878123,0.0316697396337986,-1.1009989976882935,41927.9921875,0.0,0.0,-2.2739205360412598
1710962965.495757,0.06274303048849106,-1.1149133443832397,41808.40234375,0.0,0.0,-2.266669511795044
1710962965.5063725,0.010120715945959091,-1.1525901556015015,41952.67578125,0.0,0.0,-2.40970778465271
1710962965.515774,0.10315125435590744,-1.3095978498458862,41872.06640625,0.0,0.0,-2.235295057296753
1710962965.526591,0.12361890822649002,-1.231752872467041,41851.55859375,0.0,0.0,-2.094090223312378
1710962965.5361328,0.16518211364746094,-1.1993964910507202,41708.8671875,0.0,0.0,-1.8653898239135742
1710962965.545352,-0.09951568394899368,-1.3781849145889282,41739.25,0.0,0.0,-2.0006933212280273
1710962965.5555153,-0.013827829621732235,-1.414950966835022,41689.7421875,0.0,0.0,-2.254635810852051
1710962965.5664046,-0.056525252759456635,-1.392922043800354,41907.5703125,0.0,0.0,-2.312976598739624
1710962965.5763552,-0.0005950810154899955,-1.2795348167419434,41879.10546875,0.0,0.0,-2.397078275680542
1710962965.5850098,0.054460931569337845,-1.3988990783691406,41811.17578125,0.0,0.0,-2.4485180377960205
1710962965.5953,0.06101575121283531,-1.3457025289535522,41869.34765625,0.0,0.0,-2.4539220333099365
1710962965.606086,0.0966191291809082,-1.466515064239502,41833.796875,0.0,0.0,-2.4134788513183594
1710962965.6150167,0.15101078152656555,-1.4395644664764404,41884.6875,0.0,0.0,-2.1566450595855713
1710962965.625991,0.1424156129360199,-1.400073528289795,41863.63671875,0.0,0.0,-2.0063257217407227
1710962965.6361196,0.1727563589811325,-1.4432976245880127,41871.296875,0.0,0.0,-1.8005824089050293
1710962965.6467643,-0.01622919738292694,-1.5230967998504639,41796.5078125,0.0,0.0,-1.8426117897033691
1710962965.661488,-0.1418938934803009,-1.429814100265503,41712.77734375,0.0,0.0,-2.092252254486084
1710962965.6698363,-0.02456512488424778,-1.533445119857788,41751.81640625,0.0,0.0,-1.9819157123565674
1710962965.67977,-0.02836986631155014,-1.4481748342514038,41918.59375,0.0,0.0,-2.1717336177825928
1710962965.6887074,0.2441130131483078,-1.5138005018234253,41812.4921875,0.0,0.0,-1.899863600730896
1710962965.6972916,0.15004152059555054,-1.72282075881958,41890.57421875,0.0,0.0,-2.0155346393585205
